_id|attr1id|attr1list|attr2id|vendor|of8|color|dept|description|largepicture|price|title|overallqoh|quantityonhandsum|sale|sizelist|style|SHIPPINGSURCHARGE|TOPSELLER|JUSTIN|MEGANPICK|FINDS|SHOECHARGE|exclusive
2030|12830|Black,White,Grey,Pink,Blue,Pink|NULL|PEYTON JENSEN|REPLENISHABLE|NULL|TOPS|NULL|22264-DEFAULT-l.jpg|24|Ribbed Racerback Tank|29|NULL|Y|XS,S,M,L|15276-AB|0|Y|NULL|N|Y|NULL|N
2033|12830|Black,White,Grey,Pink,Blue,Pink|NULL|PEYTON JENSEN|REPLENISHABLE|NULL|TOPS|NULL|22264-DEFAULT-l.jpg|24|Ribbed Racerback Tank|17|NULL|Y|XS,S,M,L|15276-AB|0|Y|NULL|N|Y|NULL|N
2034|12830|Black,White,Grey,Pink,Blue,Pink|NULL|PEYTON JENSEN|REPLENISHABLE|NULL|TOPS|NULL|22264-DEFAULT-l.jpg|24|Ribbed Racerback Tank|17|NULL|Y|XS,S,M,L|15276-AB|0|Y|NULL|N|Y|NULL|N
2357|11777|Blue|NULL|SKIES ARE BLUE|NULL|NULL|TOPS|NULL|22689-DEFAULT-l.jpg|48|Crochet Trim Mosaic Tank|9|NULL|Y|S,M,L|34912|0|NULL|NULL|N|Y|NULL|N
2358|11777|Blue|NULL|SKIES ARE BLUE|NULL|NULL|TOPS|NULL|22689-DEFAULT-l.jpg|48|Crochet Trim Mosaic Tank|9|NULL|Y|S,M,L|34912|0|NULL|NULL|N|Y|NULL|N
2364|11777|Blue|NULL|SKIES ARE BLUE|NULL|NULL|TOPS|NULL|22689-DEFAULT-l.jpg|48|Crochet Trim Mosaic Tank|19|NULL|Y|S,M,L|34912|0|NULL|NULL|N|Y|NULL|N
2365|11777|Blue|NULL|SKIES ARE BLUE|NULL|NULL|TOPS|NULL|22689-DEFAULT-l.jpg|48|Crochet Trim Mosaic Tank|19|NULL|Y|S,M,L|34912|0|NULL|NULL|N|Y|NULL|N
2374|12658|Pink|NULL|SKIES ARE BLUE|NULL|NULL|TOPS|NULL|22691-DEFAULT-l.jpg|58|Bazaar Print Top|12|NULL|Y|XS,S,M|34891|0|NULL|NULL|N|Y|NULL|Y
2375|12658|Pink|NULL|SKIES ARE BLUE|NULL|NULL|TOPS|NULL|22691-DEFAULT-l.jpg|58|Bazaar Print Top|12|NULL|Y|XS,S,M|34891|0|NULL|NULL|N|Y|NULL|Y
2379|12658|Pink|NULL|SKIES ARE BLUE|NULL|NULL|TOPS|NULL|22691-DEFAULT-l.jpg|58|Bazaar Print Top|8|NULL|Y|XS,S,M|34891|0|NULL|NULL|N|Y|NULL|Y
2380|12658|Pink|NULL|SKIES ARE BLUE|NULL|NULL|TOPS|NULL|22691-DEFAULT-l.jpg|58|Bazaar Print Top|8|NULL|Y|XS,S,M|34891|0|NULL|NULL|N|Y|NULL|Y
