"id","parent_id","position","name","permalink","taxonomy_id","lft","rgt","icon_file_name","icon_content_type","icon_file_size","icon_updated_at","description","created_at","updated_at","meta_title","meta_description","meta_keywords","depth"
123,2,0,"Peyton Jensen","brand/peyton-jensen",2,224,225,,,,,"","2016-10-06 20:58:51.724045","2016-10-06 20:59:13.839151","","","",1
124,2,0,"Philanthropy","brand/philanthropy",2,226,227,,,,,"","2016-10-06 20:59:35.321917","2016-10-06 20:59:47.923215","","","",1
125,2,0,"Rails","brand/rails",2,228,229,,,,,"","2016-10-06 20:59:52.598242","2016-10-06 21:00:01.407748","","","",1
126,2,0,"Sanctuary","brand/sanctuary",2,230,231,,,,,"","2016-10-06 21:00:04.017084","2016-10-06 21:00:16.310431","","","",1
127,2,0,"Scrapbook","brand/scrapbook",2,232,233,,,,,"","2016-10-06 21:00:25.467044","2016-10-06 21:00:37.432234","","","",1
128,2,0,"Skies Are Blue","brand/skies-are-blue",2,234,235,,,,,"","2016-10-06 21:00:40.538864","2016-10-06 21:00:53.605881","","","",1
129,2,0,"Sundry","brand/sundry",2,236,237,,,,,"","2016-10-06 21:00:57.038352","2016-10-06 21:01:06.936612","","","",1
130,2,0,"Sunnyside","brand/sunnyside",2,238,239,,,,,"","2016-10-06 21:01:13.79023","2016-10-06 21:01:26.901941","","","",1
131,2,0,"Three Dots","brand/three-dots",2,240,241,,,,,"","2016-10-06 21:01:33.636563","2016-10-06 21:01:45.778119","","","",1
132,2,0,"Tolani","brand/tolani",2,242,243,,,,,"","2016-10-06 21:01:50.23167","2016-10-06 21:02:02.437067","","","",1
133,2,0,"Trunk","brand/trunk",2,244,245,,,,,"","2016-10-06 21:02:06.35186","2016-10-06 21:02:14.318024","","","",1
134,2,0,"Vintage Havana","brand/vintage-havana",2,246,247,,,,,"","2016-10-06 21:02:19.217413","2016-10-06 21:02:32.548708","","","",1
135,2,0,"Willow And Clay","brand/willow-and-clay",2,248,249,,,,,"","2016-10-06 21:02:35.376944","2016-10-06 21:02:47.555076","","","",1
139,,0,"Collections","collections",7,251,258,,,,,,"2016-10-10 16:28:49.493508","2016-10-10 16:30:12.115069",,,,0
140,139,0,"Megan's Picks","collections/megans-picks",7,252,253,,,,,"","2016-10-10 16:28:54.172715","2016-10-10 16:30:12.103952","","","",1
141,139,0,"Fall Trends","collections/fall-trends",7,254,255,,,,,"","2016-10-10 16:29:06.116371","2016-10-10 16:30:12.113122","","","",1
142,139,0,"Just In","collections/just-in",7,256,257,,,,,"","2016-10-10 16:29:22.954731","2016-10-10 16:29:35.839006","","","",1
